iter	RMSE
0	14.04098352
1	13.15860372
2	12.3377172
3	11.70561504
4	11.0605371
5	10.51232329
6	10.01597929
7	9.595538711
8	9.179826538
9	8.761070082
10	8.391142704
11	8.046726664
12	7.738241347
13	7.467418244
14	7.241964521
15	7.019972721
16	6.837451968
17	6.64627746
18	6.496546334
19	6.378438373
20	6.240181497
21	6.134821652
22	6.040374632
23	5.951637588
24	5.870663612
25	5.789696549
26	5.724053484
27	5.652751085
28	5.588182581
29	5.530521437
30	5.489620456
31	5.447105761
32	5.415082114
33	5.383695289
34	5.350760957
35	5.318295376
36	5.283229756
37	5.255470531
38	5.225473054
39	5.201202144
40	5.180188246
41	5.16574889
42	5.14358091
43	5.121792324
44	5.102747898
45	5.08210932
46	5.062856499
47	5.043156558
48	5.02761083
49	5.018710018
50	5.011276102
51	5.007644799
52	4.990206707
53	4.978083132
54	4.959149611
55	4.948866947
56	4.926571921
57	4.912605785
58	4.900351242
59	4.89604437
60	4.875978526
61	4.859507644
62	4.851494163
63	4.843264628
64	4.828692691
65	4.819079066
66	4.818365299
67	4.809323354
68	4.802026162
69	4.791714821
70	4.777561291
71	4.769430461
72	4.755388107
73	4.741105284
74	4.726999314
75	4.715132909
76	4.706215743
77	4.69382471
78	4.683610622
79	4.675737781
80	4.670551228
81	4.663499789
82	4.653303033
83	4.642909742
84	4.63356548
85	4.619909176
86	4.604657852
87	4.598891525
88	4.591186068
89	4.572430867
90	4.560941938
91	4.559251655
92	4.552571456
93	4.544580193
94	4.540254885
95	4.53361065
96	4.528351689
97	4.519142889
98	4.516109636
99	4.505424069
