iter	Passed	Remaining
0	2	274
1	3	183
2	4	147
3	5	124
4	5	113
5	6	105
6	7	97
7	8	93
8	8	89
9	9	86
10	10	83
11	11	81
12	12	86
13	14	90
14	15	88
15	16	86
16	17	84
17	18	82
18	18	80
19	19	79
20	20	77
21	21	76
22	22	74
23	23	73
24	24	72
25	25	71
26	26	72
27	27	71
28	28	70
29	29	68
30	30	66
31	30	65
32	31	63
33	32	62
34	33	61
35	33	60
36	34	59
37	35	57
38	36	57
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	67	27
71	68	26
72	69	25
73	70	24
74	73	24
75	73	23
76	74	22
77	75	21
78	77	20
79	78	19
80	79	18
81	79	17
82	80	16
83	82	15
84	83	14
85	85	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	90	6
93	91	5
94	92	4
95	93	3
96	100	3
97	101	2
98	102	1
99	103	0
