iter	RMSE
0	14.04070035
1	13.59013846
2	13.15841274
3	12.70774123
4	12.27172921
5	11.97110087
6	11.59213337
7	11.2033766
8	10.85558741
9	10.50526133
10	10.1929023
11	9.885878563
12	9.590091355
13	9.273665225
14	8.976460871
15	8.70642897
16	8.432518928
17	8.191064084
18	7.94755373
19	7.686680828
20	7.445701625
21	7.225113319
22	6.999242908
23	6.772432664
24	6.570847509
25	6.383241791
26	6.182764734
27	6.01685382
28	5.841591246
29	5.680999942
30	5.509803242
31	5.346401712
32	5.189996918
33	5.036531368
34	4.886444861
35	4.749483043
36	4.60714727
37	4.48073816
38	4.34667921
39	4.222452834
40	4.097368824
41	3.969898867
42	3.852741817
43	3.737538523
44	3.632598638
45	3.545537492
46	3.457345533
47	3.372107687
48	3.280520522
49	3.189335663
50	3.104109206
51	3.020892146
52	2.949826167
53	2.875370594
54	2.800362069
55	2.728245598
56	2.655748898
57	2.579101594
58	2.515919107
59	2.452414727
60	2.389723635
61	2.325713148
62	2.265637014
63	2.217402415
64	2.168982863
65	2.112859444
66	2.066684885
67	2.025498533
68	1.973259793
69	1.924588636
70	1.873919897
71	1.828126339
72	1.788064586
73	1.743809784
74	1.703088539
75	1.670674168
76	1.630975021
77	1.597077354
78	1.567949586
79	1.532759822
80	1.500565762
81	1.469247746
82	1.443061422
83	1.411279697
84	1.379952435
85	1.35579954
86	1.327179113
87	1.299881716
88	1.275548535
89	1.254201039
90	1.232652524
91	1.206347911
92	1.186067929
93	1.163893632
94	1.14356786
95	1.124092017
96	1.101783144
97	1.08102682
98	1.063819184
99	1.052655893
100	1.036681086
101	1.016783162
102	1.000441382
103	0.9885999334
104	0.9737607868
105	0.9657081538
106	0.9526781617
107	0.9465011924
108	0.9405686476
109	0.930925657
110	0.9188711782
111	0.9056728788
112	0.9010621081
113	0.8970823722
114	0.8900509291
115	0.8777739922
116	0.8660558271
117	0.8592875586
118	0.8559989791
119	0.8522962813
120	0.842881812
121	0.8385425562
122	0.8335377941
123	0.8280371016
124	0.8221769844
125	0.8126639331
126	0.8090817986
127	0.8032877815
128	0.800085162
129	0.7969639515
130	0.7912031875
131	0.7810480041
132	0.7759426272
133	0.7713299968
134	0.7671205209
135	0.7642221946
136	0.7535181757
137	0.7504045048
138	0.7430038556
139	0.7400243334
140	0.736311511
141	0.7337881392
142	0.7244482389
143	0.7150902289
144	0.7058202723
145	0.701528412
146	0.6969961664
147	0.6937181273
148	0.6841202382
149	0.681100022
150	0.6750837106
151	0.6719369115
152	0.6687227369
153	0.6600462015
154	0.6563029801
155	0.6543079286
156	0.6524025701
157	0.6498815642
158	0.6443981827
159	0.6377884725
160	0.6307807557
161	0.6281885374
162	0.6199869696
163	0.6161627395
164	0.6086657676
165	0.6031813706
166	0.5999383311
167	0.5982793429
168	0.5925948634
169	0.5871999536
170	0.5848751898
171	0.578802989
172	0.5734006101
173	0.5713099672
174	0.5688045228
175	0.5669911973
176	0.5644718199
177	0.5620308344
178	0.5572598003
179	0.5557198365
180	0.5543584138
181	0.5522341182
182	0.5499838914
183	0.5478059315
184	0.5465202516
185	0.5452666548
186	0.5422705622
187	0.5402744361
188	0.5383486574
189	0.5367190709
190	0.5351047359
191	0.5338294839
192	0.5325768302
193	0.5313511607
194	0.5281978016
195	0.5271346386
196	0.5259652612
197	0.5242222743
198	0.5216718648
199	0.5173801542
200	0.5139969833
201	0.5127651298
202	0.5111088011
203	0.50635757
204	0.5051573412
205	0.5036079171
206	0.5004264905
207	0.499091892
208	0.4959537769
209	0.4921050701
210	0.4906139482
211	0.4895125962
212	0.4882245785
213	0.4870364706
214	0.4833621645
215	0.4821139715
216	0.4785969153
